Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
4240037,ADD,BINARY,0,0,0,0,0,R[17],W[17 25]
4240041,ADD,BINARY,0,0,0,0,0,R[7 18],W[7 25]
4240044,SUB,BINARY,0,0,0,0,0,R[18],W[18 25]
4240048,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4240058,CMP,BINARY,0,0,1,0,0,R[6 5],W[25]
4240062,MOV,DATAXFER,0,0,0,0,0,R[5],W[15]
4240065,JNLE,COND_BR,1,1,0,0,0,R[26 25],W[26]
4240071,ADD,BINARY,0,0,0,0,0,R[6],W[6 25]
4240075,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4240077,POP,POP,0,0,1,0,0,R[6],W[7 6]
4240078,POP,POP,0,0,1,0,0,R[6],W[5 6]
4240079,POP,POP,0,0,1,0,0,R[6],W[15 6]
4240081,POP,POP,0,0,1,0,0,R[6],W[16 6]
4240083,POP,POP,0,0,1,0,0,R[6],W[17 6]
4240085,POP,POP,0,0,1,0,0,R[6],W[18 6]
4240087,RET_NEAR,RET,0,1,1,0,0,R[6],W[26 6]
4241056,CMP,BINARY,0,0,1,0,0,R[6 13],W[25]
4241061,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4241067,MOVSXD,DATAXFER,0,0,1,0,0,R[4 9],W[8]
4241071,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
4241078,MOV,DATAXFER,0,0,0,0,0,R[5],W[9]
4241080,MOV,DATAXFER,0,0,1,0,0,R[6],W[3]
4241084,MOV,DATAXFER,0,0,0,0,0,R[12],W[4]
4241087,LEA,MISC,0,0,0,0,0,R[10 8],W[11]
4241091,MOV,DATAXFER,0,0,0,0,0,R[7],W[8]
4241093,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4241095,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4240620,CMP,BINARY,0,0,1,0,0,R[10 16],W[25]
4240625,JLE,COND_BR,1,1,0,0,0,R[26 25],W[26]
4240631,MOV,DATAXFER,0,0,1,0,0,R[6],W[3]
4240635,MOV,DATAXFER,0,0,1,0,0,R[17],W[11]
4240639,MOV,DATAXFER,0,0,0,0,0,R[12],W[4]
4240642,MOV,DATAXFER,0,0,0,0,0,R[7],W[8]
4240644,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4240646,MOV,DATAXFER,0,0,0,0,0,R[5],W[9]
4240648,MOV,DATAXFER,0,0,0,1,0,R[6 13],W[]
4240653,MOV,DATAXFER,0,0,0,1,0,R[6 14],W[]
4240658,MOV,DATAXFER,0,0,0,1,0,R[6 12],W[]
4240663,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4238979,MOV,DATAXFER,0,0,0,0,0,R[7],W[10]
4238982,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
4236460,MOV,DATAXFER,0,0,1,0,0,R[26],W[4]
4236467,MOV,DATAXFER,0,0,1,0,0,R[6],W[3]
4236471,MOVSXD,DATAXFER,0,0,0,0,0,R[17],W[8]
4236474,MOV,DATAXFER,0,0,0,1,0,R[6 17],W[]
4236479,MOV,DATAXFER,0,0,1,0,0,R[26],W[16]
4236486,LEA,MISC,0,0,0,0,0,R[9],W[10]
4236490,LEA,MISC,0,0,0,0,0,R[4 8],W[7]
4236494,LEA,MISC,0,0,0,0,0,R[18],W[8]
4236498,SUB,BINARY,0,0,0,0,0,R[3 17],W[3 25]
4236501,LEA,MISC,0,0,0,0,0,R[3],W[15]
4236505,SUB,BINARY,0,0,0,0,0,R[8 17],W[8 25]
4236508,MOV,DATAXFER,0,0,1,0,0,R[6],W[17]
4236513,SHR,SHIFT,0,0,0,0,0,R[8],W[8 25]
4236516,MOV,DATAXFER,0,0,0,0,0,R[15],W[18]
4236519,MOV,DATAXFER,0,0,0,1,0,R[6 8],W[]
4236523,SHL,SHIFT,0,0,0,0,0,R[8],W[8 25]
4236526,SUB,BINARY,0,0,0,0,0,R[18 8],W[18 25]
4236529,NOP,WIDENOP,0,0,0,0,0,R[10 10],W[]
4236536,MOVSXD,DATAXFER,0,0,1,0,0,R[7],W[4]
4236540,MOV,DATAXFER,0,0,0,0,0,R[4],W[8]
